identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
enterococcaceae	0.0157191511658370447995808200	0	0.3680674671240708976558033200	0.4630665294617690483647264100	0	0.0023311653495582441662587100	0.0023098422377751599565749700	0
williamsia muralis	0	0	0	0	0	0.0326363148938154183276219800	0	0
gammaproteobacteria	0	0	0	0.0011185181871057223390452300	0	0	0.0716051093710299586538239400	0
chromadorea	0.0052397170552790149331936100	0	0	0	0	0	0.0092393689511006398262998600	0
pseudomonadaceae	0	0	0	0	0	0.1491945823717276266405576100	0	0
pantoea	0.4768142520303903589206182900	0.2212176589400788689044916800	0.0035734705546026300743281900	0.0123037000581629457294975600	1.3130201855926528269396345500	0.0629414644380725924889852400	0.3718846002818007530085695100	0.0415613202646070723513316900
cryocola spp.	0.0052397170552790149331936100	0.0096181590843512551697605100	0.0357347055460263007432818800	0.0044740727484228893561809300	0.0071749736917631302018559300	0	0.5774605594437899891437414800	0.0588785370415266858310532300
isoptericola spp.	0	0	0.0178673527730131503716409400	0	0.0023916578972543767339519800	0	0	0.0034634433553839226959443100
debaryomycetaceae	0	0	0	0	0	0	0.013859053426650959739449800	0
prosthecobacter debontii	0	0	0	0	0	0.0093246613982329766650348500	0	0
skermanella sp.	0	0	0	0.0044740727484228893561809300	0	0.0093246613982329766650348500	0.0046196844755503199131499300	0.2736120250753298929796003200
variovorax paradoxus	0.0366780193869531045323552500	0.0480907954217562758488025400	0.0357347055460263007432818800	0.0167777728065858350856784900	0.0406581842533244044771835800	0.2098048814602419749632841500	0.0785346360843554385235488400	6.2134173795587573165240882500
vairimorpha cheracis	0.6287660466334817919832329100	1.4331057035683370202943156700	0.0071469411092052601486563800	0.0044740727484228893561809300	0	0.0023311653495582441662587100	0	0.0069268867107678453918886200
pseudoxanthomonas taiwanensis	0.0104794341105580298663872200	0.0096181590843512551697605100	0.05717552887364208118925100	0.0022370363742114446780904700	0.0119582894862718836697598800	0.0069934960486747324987761400	1.159540803363130298200632900	0.0069268867107678453918886200
