identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
enterococcus	0.006699269779594024251356600	0	0.7847372210223182145428365700	0.8245851865960092765833492100	0.0024125452352231604342581400	0.0046673356514433735502088600	0.2281563569482923195120247700	0.0138715494520737966430850300
luteimonas sp.	0	0	0.0395968322534197264218862500	0	0	0.0023336678257216867751044300	0	0
cytophagaceae	0	0	0	0	0	0.0093346713028867471004177300	0	0
corynebacterium lipophiloflavum	0	0	0	0.0011203603078750126040534600	0.0410132689987937273823884200	0	0	0
hyphomicrobiaceae	0	0	0	0	0	0	0.1699532046655646869834470200	0
halospirulina sp.	0.0401956186775641455081396100	0.3432700993676603432700993700	0.0179985601151907847372210200	0.0280090076968753151013365900	4.5307599517490952955367913100	0.3803878555926349443420223600	0.0302656391870183689148604300	0.703981134692745179636565400
ignavibacteriaceae	0	0	0	0.0011203603078750126040534600	0.0024125452352231604342581400	0.0023336678257216867751044300	0.1303750611133098968640141600	0
dietzia spp.	0.0401956186775641455081396100	0	0.2483801295896328293736501100	0.0011203603078750126040534600	0.0506634499396863691194209900	0	0.0046562521826182106022862200	0.0069357747260368983215425200
clostridium sp.	0	0	0	0	0	0	0.0512187740088003166251484200	0
thermicanus aegyptius	0.0267970791183760970054264100	0.0361336946702800361336946700	0.7055435565154787616990640700	0.0425736916992504789540316200	0.01688781664656212303980700	0.0536743599915987958274019300	7.2148627569669173282424976100	0.0381467609932029407684838400
rubrobacter spp.	0	0	0	0	0	0	0.0442343957348730007217190900	0
legionellaceae	0	0	0	0	0	0.0116683391286084338755221600	0	0
cloacibacterium spp.	0	0.1084010840108401084010840100	0.4895608351331893448524118100	0.0179257649260002016648554200	0.0024125452352231604342581400	0.0046673356514433735502088600	1.1198286499196796498498358700	0.0554861978082951865723401300
rhodopseudomonas palustris	0	0	0	0	0	0	0.2072032221265103718017367800	0
elizabethkingia meningoseptica	0	0	0	0	0	0	0.0116406304565455265057155500	0
anaerolineaceae	0	0	0.0071994240460763138948884100	0.0100832427708751134364811700	0	0	1.1547505412893162293669825200	0
bacillaceae	0	0	0	0	0	0.0256703460829385545261487500	0	0
